Genes,CD4T,CD8T,B,Plasma,DC,NK,Mono,Mast,Tregs
ENSG00000125148,1.60863694668857,1.42058542058542,0.124263524370648,1.43057644110276,1.8498789346247,2.89793842397938,4.90563705290918,1.36352583586626,1.50428194993412
ENSG00000204389,11.8484146094471,27.4745734745735,9.60980182110337,40.7348370927318,21.0839386602098,7.20636104706361,6.07598483599802,23.7215805471125,11.3885046113307
ENSG00000152518,10.2139208317393,7.91406791406791,4.46554186752366,7.16917293233083,5.37126715092817,5.95653058456531,4.04128894016812,2.27477203647416,6.29216073781291
ENSG00000111537,0.261291266287103,1.33940533940534,0.00522228173540439,0.0265664160401003,0.0355125100887813,1.18133731181337,0.00659304433822317,0.0297872340425532,0.0979907773386034
ENSG00000133872,7.71516979093998,5.08164208164208,2.75160685591859,5.10726817042606,4.88942695722357,2.53363624033636,1.92014175045327,3.61641337386018,6.74258893280632
ENSG00000272888,2.70857618651124,1.8953568953569,1.0985984645599,2.15488721804511,2.68684422921711,1.51390207513902,1.76182627328169,3.49118541033435,2.89163372859025
ENSG00000245954,0.221932173639085,0.0723360723360723,0.00227637921799679,0.0037593984962406,0.00887812752219532,0.0247524752475248,0.000247239162683369,0.00121580547112462,0.124505928853755
ENSG00000125740,4.17809483088417,4.98666798666799,5.36047134440278,7.82130325814536,6.2227602905569,3.70073240200732,3.96060656007912,12.0498480243161,3.59914361001318
ENSG00000118503,7.41294416814816,6.51133551133551,0.566282806641671,2.3922305764411,3.51089588377724,3.71856774718568,2.60318114389319,4.43039513677812,5.141139657444
ENSG00000196843,0.867047730494858,0.47048147048147,0.277628994822353,0.544110275689223,0.842615012106538,0.536009765360098,0.354705785396407,0.233434650455927,0.865283267457181
ENSG00000168066,2.62402952494543,1.9029469029469,1.99026959471523,1.99749373433584,2.83212267958031,1.48365658483657,1.49612658645129,2.01398176291793,2.23451910408432
ENSG00000180964,0.146994621599118,0.116919116919117,0.100830208891269,0.542606516290727,0.397094430992736,0.207988607079886,0.143481127410582,0.2,0.165349143610013
ENSG00000104660,2.2605711456669,1.63940863940864,0.126673808248527,0.727568922305764,0.640032284100081,0.768547402685474,0.3493489368716,0.635258358662614,1.9883069828722
ENSG00000277734,2.06242545626392,1.95115995115995,0.110783788609177,0.170175438596491,0.0766747376916868,0.144310321443103,0.0167298500082413,0.0425531914893617,2.54726613965744
ENSG00000185650,1.4906946913608,1.58245058245058,3.38658275307981,1.10676691729323,4.6771589991929,1.29045164790452,4.80014834349761,0.812765957446808,1.70915678524374
ENSG00000168610,1.41717487679186,0.928092928092928,0.663720764149259,1.34486215538847,1.55932203389831,0.856232198562322,1.10713697049613,0.790881458966565,1.47348484848485
ENSG00000174946,0.405720458176745,0.602844602844603,0.00232101410462417,0.00576441102756892,0.0799031476997579,0.137054116370541,0.00304928300642822,0.00668693009118541,0.165184453227931
ENSG00000100100,1.61007718792898,0.891726891726892,0.579717907516515,0.19047619047619,0.134786117836965,1.0096297300963,0.188725894181638,0.30516717325228,1.63158761528327
ENSG00000153250,0.618268559983797,0.477906477906478,0.160864131405106,0.130576441102757,0.774818401937046,0.502034450020345,1.1690291742212,0.224316109422492,0.231554677206851
ENSG00000107485,0.758422035690978,0.66006666006666,0.0070523120871273,0.0388471177944862,0.0403551251008878,0.580699850806998,0.00890060985660129,0.0127659574468085,0.694993412384717
ENSG00000233093,0.173053986542746,0.0599280599280599,0.000178539546509552,0.00275689223057644,0.00242130750605327,0.0326868303268683,0.000988956650733476,0.0188449848024316,0.0956851119894598
ENSG00000081059,1.81558160991966,0.66976866976867,0.196661310480271,0.159398496240602,0.121065375302663,0.318052353180524,0.0206856766111752,0.131914893617021,1.1564558629776
